"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
1990;"Terrestre";1,65411764705882;5,74117647058824;8,37745098039216;10,875;14,5875;"ACRSCI"
1991;"Terrestre";1,22441860465116;1,78180574555404;4,41176470588235;5,97058823529412;6,765625;"ACRSCI"
1992;"Terrestre";0,7725;1,90714285714286;3,83928571428571;5,44811320754717;18,101179245283;"ACRSCI"
1993;"Terrestre";1,0171875;1,734375;3,14285714285714;7,29761904761905;15,4297619047619;"ACRSCI"
1994;"Terrestre";2,35178571428571;3,26785714285714;4,28571428571429;9,64285714285714;14,4642857142857;"ACRSCI"
1995;"Terrestre";1,00344827586207;1,03448275862069;3,75;5,71428571428571;32,0714285714286;"ACRSCI"
1996;"Terrestre";0,905769230769231;2,30769230769231;10,5714285714286;17,9310344827586;25,4181034482759;"ACRSCI"
1997;"Terrestre";0,778125;1,30208333333333;5,86206896551724;13,23055028463;23,2352941176471;"ACRSCI"
1998;"Terrestre";1,74679487179487;2,41826923076923;3,375;9;22,1145833333333;"ACRSCI"
1999;"Terrestre";7,55892857142857;8,08928571428572;11,3095238095238;16,0625;20,73125;"ACRSCI"
2000;"Terrestre";1,67004048582996;3,3021978021978;8,94930875576037;14,4032258064516;29,2604166666667;"ACRSCI"
2001;"Terrestre";0,826923076923077;1,37692307692308;2,30769230769231;8,78571428571428;21,375;"ACRSCI"
2002;"Terrestre";0,791208791208791;1,62280701754386;2,77777777777778;6,16666666666667;19,6666666666667;"ACRSCI"
2003;"Terrestre";1,64224137931034;2,67142857142857;5,71428571428571;15,3333333333333;33,7152777777778;"ACRSCI"
2004;"Terrestre";1,15333333333333;2,17194570135747;5,38461538461538;9,125;27,125;"ACRSCI"
2005;"Terrestre";1,335;3,83603238866397;9;14,2307692307692;29;"ACRSCI"
2006;"Terrestre";1,57916666666667;4,17763157894737;9;15;31,4041666666666;"ACRSCI"
2007;"Terrestre";1,30961538461538;3,11842105263158;7,69736842105263;15,6333333333333;36,40625;"ACRSCI"
2008;"Terrestre";1,59807692307692;3,75;6,16666666666667;12,75;26,1719298245614;"ACRSCI"
2009;"Terrestre";0,942776735459662;2,30769230769231;3;11,3333333333333;23,6666666666667;"ACRSCI"
2010;"Terrestre";1,395;2,57352941176471;3;7,66304347826087;22,0848484848485;"ACRSCI"
2011;"Terrestre";1,1515306122449;2,97463768115942;3,85714285714286;10,625;30,275;"ACRSCI"
2012;"Terrestre";1,30633223684211;2,875;3,27380952380952;8,04545454545454;22,0382882882883;"ACRSCI"
2013;"Terrestre";0,986498257839721;2,5;3,21428571428571;6;22,9375;"ACRSCI"
2014;"Terrestre";1,70352564102564;2,875;3,44793435200905;9,16666666666667;25,7083333333333;"ACRSCI"
2015;"Terrestre";1,275;2,79878048780488;4,5;10,2777777777778;19,7291666666667;"ACRSCI"
2016;"Terrestre";1,08816964285714;2,35714285714286;5,5;10,75;16,0416666666667;"ACRSCI"
1989;"Terrestre";5,4;5,4;5,4;5,4;5,4;"AEGCAU"
1990;"Terrestre";0,628571428571429;0,883116883116883;1,5;2,22352941176471;3,45705882352941;"AEGCAU"
1991;"Terrestre";0,842272727272727;1,22272727272727;1,61931818181818;1,99448529411765;2,31709558823529;"AEGCAU"
1992;"Terrestre";1,20905660377359;1,29056603773585;2,37466307277628;3,69642857142857;4,41964285714286;"AEGCAU"
1993;"Terrestre";0,770833333333333;1,73310810810811;2,93050193050193;4,60714285714286;5,29166666666667;"AEGCAU"
1994;"Terrestre";0,724468085106383;1,5;2,14285714285714;2,30769230769231;3,47076923076923;"AEGCAU"
1995;"Terrestre";0,608403361344538;0,789915966386555;1,11038961038961;1,49147727272727;1,83664772727273;"AEGCAU"
1996;"Terrestre";0,971428571428571;1,71428571428571;1,71428571428571;2,25;3,0671052631579;"AEGCAU"
1997;"Terrestre";0,940524193548387;0,967741935483871;1,66666666666667;2,06896551724138;3,58189655172414;"AEGCAU"
1998;"Terrestre";1,234375;1,98317307692308;3,02884615384615;4,3125;4,9375;"AEGCAU"
1999;"Terrestre";0,871428571428572;1;1,48936170212766;7,5;21;"AEGCAU"
2000;"Terrestre";1,44746543778802;2,90322580645161;3;3,15789473684211;4,33706606942889;"AEGCAU"
2001;"Terrestre";0,807692307692308;1,734375;2,15384615384615;3,75;6,61607142857143;"AEGCAU"
2002;"Terrestre";0,679086538461539;1,41148325358852;2,75;3,29306722689076;9,54166666666667;"AEGCAU"
2003;"Terrestre";0,699311639549437;2,07142857142857;3;8,45238095238095;10,7451923076923;"AEGCAU"
2004;"Terrestre";1,125;1,66666666666667;2,61363636363636;4,125;6,12132352941176;"AEGCAU"
2005;"Terrestre";0,930555555555556;2,60869565217391;3,33333333333333;5,19230769230769;19,9411764705882;"AEGCAU"
2006;"Terrestre";1,15178571428571;2,22527472527473;3;4,90384615384615;11,4375;"AEGCAU"
2007;"Terrestre";1,13615384615385;2,22527472527473;3,6;8,69747899159664;18,1;"AEGCAU"
2008;"Terrestre";1,65;3,15789473684211;5;8,57142857142857;16,5;"AEGCAU"
2009;"Terrestre";1,06483516483516;2,14285714285714;4,6875;6,31578947368421;10,6;"AEGCAU"
2010;"Terrestre";1,40199637023593;2,67045454545455;3,8;5,25;10,7386363636364;"AEGCAU"
2011;"Terrestre";1,4;2,5;3,21428571428571;6,66666666666667;14,8705882352941;"AEGCAU"
2012;"Terrestre";1,55723684210526;2,66671457315321;4,72142857142857;8,76923076923077;14,275;"AEGCAU"
2013;"Terrestre";1,41241610738255;2,5;3,33333333333333;5,45454545454546;14,25;"AEGCAU"
2014;"Terrestre";1,98464912280702;3,53365384615385;4,91935483870968;7,8;12,5823529411765;"AEGCAU"
2015;"Terrestre";1,9;3;4,28571428571429;6;25,9285714285715;"AEGCAU"
2016;"Terrestre";1,984375;2,5;3;3,32142857142857;11,281914893617;"AEGCAU"
1989;"Terrestre";1,5;1,5;1,5;1,5;1,5;"CARCHL"
1990;"Terrestre";0,76875;0,9375;0,9375;1,17647058823529;2,14264705882353;"CARCHL"
1991;"Terrestre";1,77297794117647;1,84742647058824;2,25;2,65056818181818;2,71960227272727;"CARCHL"
1992;"Terrestre";0,568584905660377;0,591509433962264;0,9;1,32857142857143;1,67571428571429;"CARCHL"
1993;"Terrestre";1,5375;1,875;2,5;3,375;4,3875;"CARCHL"
1994;"Terrestre";0,617142857142857;0,771428571428571;0,942857142857143;1,11428571428571;1,26857142857143;"CARCHL"
1995;"Terrestre";0,615073529411765;0,856617647058824;1,125;1,5625;1,95625;"CARCHL"
1996;"Terrestre";0,9;1;1,57894736842105;1,73076923076923;4,03021978021978;"CARCHL"
1998;"Terrestre";1,66666666666667;1,66666666666667;1,66666666666667;1,66666666666667;1,66666666666667;"CARCHL"
1999;"Terrestre";1,85892857142857;3,16071428571429;4,60714285714286;6,05357142857143;7,35535714285714;"CARCHL"
2000;"Terrestre";0,664753639417693;0,840225563909774;0,952620967741935;1,81891025641026;2,83958333333333;"CARCHL"
2001;"Terrestre";1,59924812030075;1,85714285714286;2,30769230769231;2,97894736842105;3,30701754385965;"CARCHL"
2002;"Terrestre";0,857142857142857;1,25;1,7156862745098;2,44444444444444;8,67559523809523;"CARCHL"
2003;"Terrestre";0,953571428571429;1,80555555555556;2,45;4,04761904761905;15,6875;"CARCHL"
2004;"Terrestre";1,11881868131868;1,70238095238095;2,40384615384615;4,46428571428571;8,67857142857143;"CARCHL"
2005;"Terrestre";0,908333333333333;2,5;3,21428571428571;4,45054945054945;5,99025974025974;"CARCHL"
2006;"Terrestre";1,23333333333333;1,93681318681319;3,75;7,08333333333333;8,6875;"CARCHL"
2007;"Terrestre";0,921428571428571;1,28181818181818;2,5;4,08333333333333;6,23571428571429;"CARCHL"
2008;"Terrestre";0,907142857142857;1,83333333333333;2,5;3,16666666666667;3,9125;"CARCHL"
2009;"Terrestre";0,891216216216216;2,22916666666667;3;3,67788461538462;7,5;"CARCHL"
2010;"Terrestre";0,932352941176471;2,16964285714286;2,5;3,11842105263158;12,253125;"CARCHL"
2011;"Terrestre";1,86281859070465;2,78846153846154;3,07894736842105;4,715625;5,78125;"CARCHL"
2012;"Terrestre";1,1484375;1,96875;2,5;3,08333333333333;5,26119402985075;"CARCHL"
2013;"Terrestre";1,09583333333333;2,61880165289256;4,14285714285714;5,85533869115959;8,71205357142857;"CARCHL"
2014;"Terrestre";1,62259615384615;1,96774193548387;2,72727272727273;3,98026315789474;4,875;"CARCHL"
2015;"Terrestre";1,584375;2,4375;4,01785714285714;5,10127931769723;6,39393939393939;"CARCHL"
2016;"Terrestre";3;3;3;3;3;"CARCHL"
1990;"Terrestre";1,42329545454545;1,96022727272727;2,55681818181818;3,15340909090909;3,69034090909091;"CERYLA"
1991;"Terrestre";1,875;1,875;1,875;1,875;1,875;"CERYLA"
1992;"Terrestre";0,708333333333333;1,08333333333333;1,5;2,390625;3,1921875;"CERYLA"
1993;"Terrestre";0,612745098039216;0,833333333333333;0,9375;1,33333333333333;1,93333333333333;"CERYLA"
1994;"Terrestre";0,656602002503129;0,821339173967459;0,909926470588235;0,959535256410256;1,01903044871795;"CERYLA"
1995;"Terrestre";0,715056818181818;1,01420454545455;1,5;2,03125;2,453125;"CERYLA"
1996;"Terrestre";0,642410714285714;0,799107142857143;0,873015873015873;1,04166666666667;1,45416666666667;"CERYLA"
