"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2001;"Aquatique";122;122;122;122;122
2002;"Aquatique";102;102;102;102;102
2003;"Aquatique";46,75;62,5;80;97,5;113,25
2005;"Aquatique";80,03125;80,3125;80,625;80,9375;81,21875
2006;"Aquatique";65,00625;76,3125;88,875;101,4375;112,74375
2007;"Aquatique";70,65625;76,5625;94,375;112,75;120,175
2008;"Aquatique";13,4375;40,875;68;75,3977272727273;85,3875
2009;"Aquatique";37,1;54,9545454545455;62,2222222222222;66,0416666666667;86,8125
2010;"Aquatique";40,875;54,375;72,125;85;115,75
2011;"Aquatique";57,8219696969697;67,5;89;98,25;101,75
2012;"Aquatique";28,9239130434783;46,5909090909091;55,4545454545455;61,125;114,328125
2013;"Aquatique";32,7478260869565;43,9090909090909;57,5;67,8181818181818;96,0454545454545
2014;"Aquatique";50,75;62,5;86,25;90,0454545454545;143,7
2015;"Aquatique";33,8760869565217;48,3181818181818;57,25;76,5454545454545;115,156818181818
2016;"Aquatique";73,2;84;96;108;118,8
1997;"STOC-rozo";73,225;75,25;77,5;79,75;81,775
1998;"STOC-rozo";68,1;69;70;81,5;91,85
1999;"STOC-rozo";76,15;77,5;79;85,5;91,35
2000;"STOC-rozo";45,15;64,5;86;98;108,8
2001;"STOC-rozo";32,75;38;41;45;62,45
2002;"STOC-rozo";23,4;39,5;52;80,5;96,3
2003;"STOC-rozo";27;45;59;67;88,25
2004;"STOC-rozo";18,8625;40,5;59;84;130,725
2005;"STOC-rozo";24,15;31;50;62;84,7
2006;"STOC-rozo";24,125;34,5;46;59,5;85,625
2007;"STOC-rozo";26,8;47;69;85;136,8
2008;"STOC-rozo";20,78125;47,25;57;72;119,475
2009;"STOC-rozo";26,9;35;49;80;106,2
2010;"STOC-rozo";24,7;70,5;86;106;115,9
2011;"STOC-rozo";34;51,5;74;97,5;114,25
2012;"STOC-rozo";23,0217391304348;45,5;53;68;108,75
2013;"STOC-rozo";20,1521739130435;40;52;73;102,5
2014;"STOC-rozo";59,225;61,25;67;87;127,5
2015;"STOC-rozo";26,1032608695652;37,8260869565217;63;80,75;99,425
2016;"STOC-rozo";45;45;45;45;45
1989;"Terrestre";11,9633333333333;23,6333333333333;36,6;62,7;86,19
1990;"Terrestre";15,6666666666667;30,2673796791444;43,8;77,51875;99,3799019607843
1991;"Terrestre";13,3351573187414;22,0588235294118;32,7272727272727;61,1764705882353;63,9
1992;"Terrestre";19,5130718954248;25,9318181818182;34,3035714285714;50,9375;63,89
1993;"Terrestre";23,2916666666667;31,7408585055644;37,3958333333333;49,4174107142857;120,54375
1994;"Terrestre";26,8083554376658;30,2941176470588;32,854609929078;42,9571428571429;60,4453125
1995;"Terrestre";20,1111111111111;26,5522875816993;35;57,40625;142,1875
1996;"Terrestre";21,2911764705882;37,384236453202;42,9230769230769;53,421875;72,5303571428571
1997;"Terrestre";20,2678571428571;32,4596774193548;41,3793103448276;61,28125;80,475
1998;"Terrestre";22,0454545454546;30,7037037037037;36,6666666666667;74,6730769230769;84,6875
1999;"Terrestre";17,3944444444444;25,2705167173252;44,6666666666667;62,265625;94,28125
2000;"Terrestre";14,0088235294118;33,9605263157895;44,2741935483871;56,5625;79,05375
2001;"Terrestre";12,8888888888889;30,8791666666667;43,3333333333333;59,1578947368421;78,1634615384615
2002;"Terrestre";21,609375;34,3157894736842;45,8333333333333;61,8205128205128;94,1743697478992
2003;"Terrestre";14,6333333333333;35,05;47,3333333333333;69,75;105,229166666667
2004;"Terrestre";12,3676470588235;34,4230769230769;52,2222222222222;69,1666666666667;107,5
2005;"Terrestre";14;36,4285714285714;46,9565217391304;73,3333333333333;114,983957219251
2006;"Terrestre";7,16666666666667;29,0909090909091;45,2777777777778;64,0625;86,5625
2007;"Terrestre";8,85;31,6666666666667;55,8333333333333;70,7142857142857;119,433333333333
2008;"Terrestre";8,33333333333333;34,2261904761905;51,578947368421;64,0178571428571;89,8125
2009;"Terrestre";14,4083333333333;34,7850122850123;42,9166666666667;57,125;97,025
2010;"Terrestre";18,1605263157895;39,875;51,5503432494279;67,625;108,3
2011;"Terrestre";19,7363636363636;41,2571428571429;55;68,6666666666667;132,060606060606
2012;"Terrestre";3,97391304347827;38,1666666666667;50;62,6666666666667;112,738888888889
2013;"Terrestre";11,7954545454545;29,0681818181818;43,0853658536585;53,4027777777778;74,9999999999999
2014;"Terrestre";20,4101633393829;32;46,6666666666667;54,6875;76,4
2015;"Terrestre";20,2736842105263;36,9423076923077;48,0352303523035;64,8214285714286;93,3125
2016;"Terrestre";18,3263157894737;40,1944444444444;48;53,0384615384615;75,85
1989;"tout";11,9633333333333;23,6333333333333;36,6;62,7;86,19
1990;"tout";15,6666666666667;30,2673796791444;43,8;77,51875;99,3799019607843
1991;"tout";13,3351573187414;22,0588235294118;32,7272727272727;61,1764705882353;63,9
1992;"tout";19,5130718954248;25,9318181818182;34,3035714285714;50,9375;63,89
1993;"tout";23,2916666666667;31,7408585055644;37,3958333333333;49,4174107142857;120,54375
1994;"tout";26,8083554376658;30,2941176470588;32,854609929078;42,9571428571429;60,4453125
1995;"tout";20,1111111111111;26,5522875816993;35;57,40625;142,1875
1996;"tout";21,2911764705882;37,384236453202;42,9230769230769;53,421875;72,5303571428571
1997;"tout";20,3928571428571;37,4193548387097;53,8235294117647;73;82,35
1998;"tout";22,1136363636364;34,3571428571429;59;77,875;90,4
1999;"tout";17,8650793650794;35,0851063829787;54,6875;82;95,1875
2000;"tout";15,1647058823529;34;45;72,5;100,4
2001;"tout";15,5555555555556;33,1307692307692;42;59,1578947368421;92,375
2002;"tout";21,890625;35,3759398496241;50,6666666666667;71,4166666666667;97,5661764705882
2003;"tout";16,8676470588235;35,85;50,4;69,5;112,291666666667
2004;"tout";12,5882352941176;35;52,2222222222222;75;113,9
2005;"tout";14,375;36,5714285714286;47,8974358974359;73,4294871794872;114,478609625668
2006;"tout";7,56666666666667;30;47,2619047619048;64,0625;95,1750000000001
2007;"tout";9;33,6945812807882;57,5;76,6071428571429;125,808333333333
2008;"tout";8,33333333333333;35;52,5;67,0714285714286;102,326923076923
2009;"tout";16,4444444444444;35,1666666666667;44,4444444444444;62,1111111111111;99,1653846153846
2010;"tout";17,15;40,8741258741259;55,3;74,25;119,05
2011;"tout";20;43,5606060606061;59,0178571428571;74,2361111111111;127,011363636364
2012;"tout";11,1434782608696;38,8725490196078;51,2777777777778;65,1;118,1
2013;"tout";13,25;32,2273073989321;45;55,8571428571429;95,5
2014;"tout";20,7211394302849;33,5087719298246;48,875;59,25;91,55
2015;"tout";21,1333333333333;37,1428571428571;49,375;66,6666666666667;104,2
2016;"tout";19,1;42,375;48,5833333333333;55,0549450549451;100,05
