"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
1992;"Terrestre";1,25;1,25;1,25;1,25;1,25;"ACRARU"
1993;"Terrestre";1,03448275862069;1,03448275862069;1,03448275862069;1,03448275862069;1,03448275862069;"ACRARU"
1994;"Terrestre";1;1;1;1;1;"ACRARU"
1995;"Terrestre";1,03448275862069;1,03448275862069;1,03448275862069;1,03448275862069;1,03448275862069;"ACRARU"
1996;"Terrestre";1,15384615384615;1,15384615384615;1,15384615384615;1,15384615384615;1,15384615384615;"ACRARU"
1997;"Terrestre";1,15384615384615;1,15384615384615;1,15384615384615;1,15384615384615;1,15384615384615;"ACRARU"
1998;"Terrestre";1,07142857142857;1,07142857142857;1,07142857142857;1,07142857142857;1,07142857142857;"ACRARU"
2002;"Terrestre";1,03448275862069;1,03448275862069;1,03448275862069;1,03448275862069;1,03448275862069;"ACRARU"
2004;"Terrestre";1;1;1;1;1;"ACRARU"
2006;"Terrestre";1,03448275862069;1,03448275862069;1,03448275862069;1,03448275862069;1,03448275862069;"ACRARU"
2007;"Terrestre";2,33333333333333;2,33333333333333;2,33333333333333;2,33333333333333;2,33333333333333;"ACRARU"
2008;"Terrestre";4;4;4;4;4;"ACRARU"
2009;"Terrestre";1;1;1;1;1;"ACRARU"
2010;"Terrestre";1,55172413793103;1,55172413793103;1,55172413793103;1,55172413793103;1,55172413793103;"ACRARU"
2011;"Terrestre";2,5;2,5;2,5;2,5;2,5;"ACRARU"
2012;"Terrestre";2,72727272727273;2,72727272727273;2,72727272727273;2,72727272727273;2,72727272727273;"ACRARU"
1989;"Terrestre";3,6;3,6;3,6;3,6;3,6;"ACRRIS"
1990;"Terrestre";0,618387096774194;0,783870967741936;0,967741935483871;2,62672811059908;4,11981566820277;"ACRRIS"
1991;"Terrestre";1,14195402298851;2,10919540229885;3,18390804597701;4,25862068965517;5,22586206896552;"ACRRIS"
1993;"Terrestre";10;10;10;10;10;"ACRRIS"
