"YEAR";"HABITAT";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2001;"Aquatique";"Court";0;0;0;0;0
2002;"Aquatique";"Court";0,25;0,25;0,25;0,25;0,25
2003;"Aquatique";"Court";0,00357142857142856;0,0357142857142857;0,0714285714285714;0,107142857142857;0,139285714285714
2004;"Aquatique";"Court";0;0;0;0;0
2005;"Aquatique";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
2006;"Aquatique";"Court";0,0166666666666667;0,166666666666667;0,333333333333333;0,393939393939394;0,448484848484848
2007;"Aquatique";"Court";0;0,0208333333333333;0,141666666666667;0,272972972972973;0,547578828828829
2008;"Aquatique";"Court";0;0;0;0;0,536336336336336
2009;"Aquatique";"Court";0;0;0,333333333333333;0,5;0,509574468085106
2010;"Aquatique";"Court";0;0;0,0833333333333333;0,387820512820513;0,713942307692308
2011;"Aquatique";"Court";0;0;0,14957264957265;0,333333333333333;0,470833333333333
2012;"Aquatique";"Court";0;0;0;0,0833333333333333;0,264335664335665
2013;"Aquatique";"Court";0;0;0,0454545454545455;0,14375;0,31
2014;"Aquatique";"Court";0;0,107142857142857;0,19047619047619;0,453125;0,9125
2015;"Aquatique";"Court";0;0,0625;0,266666666666667;0,277777777777778;0,5
2016;"Aquatique";"Court";0,0153846153846154;0,0909090909090909;0,142857142857143;0,333333333333333;0,426190476190476
2017;"Aquatique";"Court";0;0,157894736842105;0,25;0,5;0,725
2018;"Aquatique";"Court";0;0,142857142857143;0,2;0,4125;0,5
2019;"Aquatique";"Court";0;0,0625;0,238095238095238;0,340909090909091;0,613636363636364
1996;"STOC-rozo";"Court";0,25;0,25;0,25;0,25;0,25
1997;"STOC-rozo";"Court";0,00624999999999998;0,0625;0,125;0,1875;0,24375
1998;"STOC-rozo";"Court";0;0;0;0;0
1999;"STOC-rozo";"Court";0;0;0;0;0
2000;"STOC-rozo";"Court";0;0;0;0,0166666666666667;0,0616666666666667
2001;"STOC-rozo";"Court";0,38125;0,4375;0,5;0,75;0,975
2002;"STOC-rozo";"Court";0;0;0,225;0,375;0,6375
2003;"STOC-rozo";"Court";0;0;0;0,129464285714286;0,19
2004;"STOC-rozo";"Court";0;0;0;0,0294117647058824;0,178823529411765
2005;"STOC-rozo";"Court";0;0;0;0,107142857142857;0,216720779220779
