NEW.ID_PROG;SESSION;JULIANDAY
1;1;138
10;1;138
1003;1;141
1004;1;142
1009;1;134
100a;1;138
100b;1;139
1011;1;145
1012;1;144
1014;1;138
101a;1;144
101b;1;147
102;1;143
104;1;135
105;1;134
106;1;147
107;1;153
108;1;134
109;1;126
11;1;138
110;1;138
111;1;150
112;1;126
114;1;149
115;1;134
116;1;136
117;1;158
118;1;157
119;1;134
12;1;130
120;1;154
121;1;127
122;1;142
123;1;142
124;1;136
125;1;135
126;1;135
127;1;142
128;1;140
130;1;130
131;1;141
132;1;138
134;1;139
135;1;138
136;1;138
137;1;149
139b;1;158
139c;1;155
13a;1;141
13b;1;139
13c;1;133
13d;1;137
14;1;138
140;1;128
141;1;145
142;1;142
143;1;142
144;1;138
145;1;143
146;1;137
147;1;143
148;1;138
149;1;138
15;1;152
150;1;138
151;1;139
154;1;137
158;1;132
159a;1;138
159b;1;138
160a;1;144
160b;1;144
161;1;133
162;1;144
163;1;133
166;1;146
168;1;138
170;1;138
172;1;142
173;1;130
174;1;150
176;1;154
177;1;132
179;1;138
17b;1;140
17c;1;152
18;1;146
181;1;153
185;1;144
187;1;132
188;1;141
189;1;133
19;1;138
190;1;138
191;1;145
192;1;147
193;1;142
194;1;139
195;1;140
198;1;134
199;1;143
20;1;138
200;1;137
201;1;137
202;1;135
203;1;140
204;1;138
205;1;133
208;1;131
209b;1;150
21;1;143
210;1;137
211;1;140
212;1;137
213;1;142
214;1;139
215;1;139
216;1;135
217;1;143
218;1;138
219;1;144
220;1;137
221;1;143
222;1;130
223;1;131
224;1;138
225b;1;139
226;1;142
227;1;137
228;1;145
229;1;143
22a;1;138
22b;1;138
230;1;145
231;1;144
232;1;145
235;1;142
236;1;141
238;1;141
239;1;144
240;1;144
241;1;134
242;1;138
243;1;144
244a;1;145
244b;1;150
245;1;141
246a;1;150
246b;1;132
248;1;145
249;1;134
25;1;126
250;1;131
251;1;131
252;1;111
253;1;133
254;1;148
256;1;135
260;1;156
261;1;135
262;1;126
263;1;142
264;1;147
265;1;145
267;1;144
269;1;139
270;1;146
271;1;151
275;1;128
276;1;134
277;1;128
278;1;138
27a;1;141
27b;1;124
28;1;154
283;1;150
284;1;138
285;1;138
286;1;128
287;1;136
288;1;134
290;1;138
291;1;138
292;1;139
293;1;130
294;1;154
295;1;138
296;1;147
297;1;139
298;1;145
299;1;135
2a;1;144
2b;1;149
32;1;144
34;1;146
36;1;140
37;1;126
39;1;141
40;1;140
41a;1;138
42;1;130
43;1;132
44a;1;130
44b;1;162
44c;1;144
45;1;133
46;1;147
47;1;140
49;1;134
50;1;151
51;1;132
52;1;130
53;1;130
54;1;127
55;1;138
56;1;153
57;1;136
58;1;145
59;1;137
60;1;136
61;1;118
610;1;142
615;1;136
62;1;138
620;1;139
621;1;149
622;1;136
623;1;138
628;1;133
637;1;117
639;1;135
63a;1;136
63b;1;136
63c;1;145
64;1;163
640;1;147
641;1;125
642;1;124
643;1;136
649;1;132
65;1;157
650;1;138
659;1;141
66;1;134
660;1;131
662;1;131
663;1;148
667;1;137
67;1;144
670;1;133
672;1;136
676;1;142
67a;1;153
67b;1;142
67c;1;148
68;1;146
683;1;132
684;1;138
685;1;121
686;1;139
687;1;160
69;1;133
693;1;134
699;1;127
7;1;131
700;1;136
701;1;144
703;1;139
704;1;137
705;1;138
71;1;147
716;1;145
