"AGE_first";"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
"AD";2003;"Aquatique";-0,0810287610619469;-0,0303197908286404;0,0176991150442477;0,0576923076923077;0,0619469026548672
"AD";2004;"Aquatique";-0,133035714285714;-0,0635416666666666;-0,0178571428571428;0,0619469026548672;0,111825396825397
"AD";2005;"Aquatique";-0,100110619469027;-0,0707964601769912;-0,0265486725663717;0,0176991150442477;0,108613234111022
"JUV";2005;"Aquatique";0;0;0;0;0
"AD";2006;"Aquatique";-0,115044247787611;-0,0624999999999999;-0,00442477876106201;0,04;0,194690265486726
"JUV";2006;"Aquatique";-0,0805900621118013;-0,033339422725612;-0,0294117647058824;0;0,0607142857142857
"AD";2007;"Aquatique";-0,115044247787611;-0,0265486725663717;0;0,0619469026548672;0,150442477876106
"JUV";2007;"Aquatique";-0,166310160427807;-0,0784527972027972;0;0,0454545454545455;0,201954959933683
"AD";2008;"Aquatique";-0,149318181818182;-0,0555984555984556;0;0,0619469026548672;0,194690265486726
"JUV";2008;"Aquatique";-0,197058823529412;-0,0294117647058824;0;0,0588235294117647;0,146638655462185
"AD";2009;"Aquatique";-0,166666666666667;-0,049778761061947;-0,0178571428571428;0,0360449735449736;0,163244047619048
"JUV";2009;"Aquatique";-0,169117647058824;-0,0882352941176471;-0,0476190476190476;0;0,0952380952380952
"AD";2010;"Aquatique";-0,135454545454545;-0,027027027027027;-0,0178571428571428;0,0619469026548672;0,235579962073325
"JUV";2010;"Aquatique";-0,127237851662404;-0,0532212885154062;0;0,0266106442577031;0,16017316017316
"AD";2011;"Aquatique";-0,138910969793323;-0,0413636363636364;0;0,0619469026548672;0,156862357774968
"JUV";2011;"Aquatique";-0,130227272727273;-0,0181818181818182;0;0,0476190476190476;0,15047268907563
"AD";2012;"Aquatique";-0,115044247787611;-0,0265486725663717;0,00923247106875422;0,0619469026548672;0,210294117647059
"JUV";2012;"Aquatique";-0,059469696969697;-0,0492424242424242;-0,0227272727272727;0,0119047619047619;0,044047619047619
"AD";2013;"Aquatique";-0,0970791505791505;-0,0265486725663717;0,00799999999999997;0,0619469026548672;0,18103378921963
"JUV";2013;"Aquatique";-0,0946031746031746;-0,088888888888889;0;0,0476190476190476;0,0476190476190476
"AD";2014;"Aquatique";-0,140480404551201;-0,0486725663716815;-0,00442477876106201;0,0353982300884954;0,150442477876106
"JUV";2014;"Aquatique";-0,0953427719821162;-0,0681818181818182;-0,0476190476190476;0,0476190476190476;0,110644257703081
"AD";2015;"Aquatique";-0,134955752212389;-0,0624999999999999;-0,0178571428571428;0,0499882518796993;0,246651785714286
"JUV";2015;"Aquatique";-0,19267046706323;-0,0476190476190476;-0,0262172284644196;0,0262158054711246;0,0976190476190475
"AD";2016;"Aquatique";-0,157632743362832;-0,0540674603174603;-0,00442477876106201;0,0619469026548672;0,194690265486726
"JUV";2016;"Aquatique";-0,142897727272727;-0,0767816742081448;-0,0257936507936508;0,0271164021164021;0,0648089941972921
"AD";2017;"Aquatique";-0,15929203539823;-0,0603139904610493;-0,00442477876106201;0,04;0,216814159292035
"JUV";2017;"Aquatique";-0,184742647058824;-0,091991341991342;-0,00455927051671728;0,0334224598930481;0,174305555555556
"AD";2018;"Aquatique";-0,136800193050193;-0,0442477876106195;0,00446428571428578;0,0619469026548672;0,182220434432824
