"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
"ERIRUB";1990;"AD";"Court";15,3427083333333;16,5520833333333;17,8857142857143;18,8285714285714;18,9828571428571;"Terrestre"
"FRICOE";1990;"AD";"Court";20,2418518518519;20,8629629629629;21,5530864197531;22,2432098765432;22,8643209876543;"Terrestre"
"PARCAE";1990;"AD";"Court";10,8731617647058;11,2316176470588;11,6299019607843;12,0281862745098;12,3866421568627;"Terrestre"
"PARMAJ";1990;"AD";"Court";16,6901408450704;16,9014084507042;17,2297297297297;17,7631578947369;17,9763157894737;"Terrestre"
"PHYCOL";1990;"AD";"Court";6,92416666666668;7,75740740740742;9;9,91666666666668;12,2036842105263;"Terrestre"
"PRUMOD";1990;"AD";"Court";17,65;19;19,4444444444444;22,3611111111111;23,5449346405229;"Terrestre"
"PYRULA";1990;"AD";"Court";21,2625;21,2625;21,2625;21,2625;21,2625;"Terrestre"
"SYLATR";1990;"AD";"Court";15,5959598296927;17,4555689399555;18,0008330248056;18,8087162162161;20,912705399061;"Terrestre"
"TROTRO";1990;"AD";"Court";10,4456227836879;10,6264406028369;10,8273492907801;11,0282579787234;11,2090757978723;"Terrestre"
"TURMER";1990;"AD";"Court";80,7659774436091;84,8635675348276;88,2692307692312;90,8163030998855;95,81625;"Terrestre"
"TURPHI";1990;"AD";"Court";61,1209482758622;62,5094827586208;64,0522988505748;65,5951149425288;66,9836494252874;"Terrestre"
"AEGCAU";1991;"AD";"Court";8;8;8;8;8;"Terrestre"
"ERIRUB";1991;"AD";"Court";14,7946666666667;15,6778523489933;16,2222222222222;16,7702702702702;19,7179968701095;"Terrestre"
"FRICOE";1991;"AD";"Court";20,1817866555694;20,2623110001388;20,7633513663476;21,3627075351214;21,7086845466157;"Terrestre"
"PAPALU";1991;"AD";"Court";9,32965407057516;9,64080300083356;9,98652403445401;10,3322450680745;10,6433939983329;"Terrestre"
"PARCAE";1991;"AD";"Court";10,4027966485507;10,7670969202899;11,171875;11,171875;11,171875;"Terrestre"
"PARMAJ";1991;"AD";"Court";15,4295704295704;16,1621640537514;16,9507042253521;17,3546342174293;18,5717429577465;"Terrestre"
"PHYCOL";1991;"AD";"Court";6,82973360655737;7,07743362831858;7,6753040719196;8,10344827586207;9,39583333333333;"Terrestre"
"PRUMOD";1991;"AD";"Court";17,8298916377019;18,3066693330667;18,5294117647059;19,2534837425348;19,7855430874823;"Terrestre"
"SYLATR";1991;"AD";"Court";14,2327724358974;15,833491391888;16,8851351351351;18,0024657534246;19,9441863738738;"Terrestre"
"TROTRO";1991;"AD";"Court";9,56585081585082;10,5376344086021;10,6732673267327;10,8888888888889;11,2841346153846;"Terrestre"
"TURMER";1991;"AD";"Court";77,25;80,7936907881476;88,3078437310723;91,9254098360656;98,9777777777778;"Terrestre"
"TURPHI";1991;"AD";"Court";64,9000000000002;64,9000000000002;64,9000000000002;64,9000000000002;64,9000000000002;"Terrestre"
"ERIRUB";1992;"AD";"Court";14,1939618746965;15,0706532297232;16,0447547353084;17,0188562408936;17,8955475959204;"Terrestre"
"FRICOE";1992;"AD";"Court";19,6771739130434;20,0978260869564;20,5652173913043;21,0326086956521;21,4532608695651;"Terrestre"
"PARCAE";1992;"AD";"Court";10,8409624413145;10,9096244131455;10,9859154929578;11,6834339369551;12,3112005365527;"Terrestre"
"PARMAJ";1992;"AD";"Court";19;19;19;19;19;"Terrestre"
"PHYCOL";1992;"AD";"Court";6,82158985462416;7,28147231673367;7,79245283018868;8,11051212938004;8,39676549865226;"Terrestre"
"PRUMOD";1992;"AD";"Court";17,7827660406886;18,1093505477309;18,4722222222222;18,7361111111111;18,9736111111111;"Terrestre"
"SYLATR";1992;"AD";"Court";15,770054054054;16,5875352112676;17,2353025114155;18,6199999999999;19,400308219178;"Terrestre"
"TROTRO";1992;"AD";"Court";11,468085106383;11,468085106383;11,468085106383;11,468085106383;11,468085106383;"Terrestre"
"TURMER";1992;"AD";"Court";72,7213345864663;76,7982456140354;82,702702702703;86,1587434597778;96,6469465648852;"Terrestre"
"TURPHI";1992;"AD";"Court";62,4830701754388;67,280701754386;67,280701754386;71,421052631579;72,3526315789474;"Terrestre"
"ERIRUB";1993;"AD";"Court";14,3943661971831;15,2995833333333;15,7837837837837;16,8055555555556;19,3372796709753;"Terrestre"
"FRICOE";1993;"AD";"Court";19,6920454545454;20,656968031968;21;22,575;22,93625;"Terrestre"
"PAPALU";1993;"AD";"Court";9,22930947580645;9,98664314516127;10,828125;12,8886387711864;14,7431011652542;"Terrestre"
"PARCAE";1993;"AD";"Court";10,3813672208014;10,5147058823529;10,5931738366988;10,9179104477612;11,9375;"Terrestre"
"PARMAJ";1993;"AD";"Court";15,2495603480192;15,7423657423657;16,4983988614125;17,4657534246575;17,8948051948052;"Terrestre"
"PHYCOL";1993;"AD";"Court";6,03076923076923;6,67924528301887;7,05982905982906;7,64814814814814;9,27672955974842;"Terrestre"
"PRUMOD";1993;"AD";"Court";15,4063926940639;15,774647887324;16,5277777777778;18,7323943661973;21,5346795434592;"Terrestre"
"PYRULA";1993;"AD";"Court";21,937693687231;22,1181133428982;22,3185796269727;22,5190459110473;22,6994655667144;"Terrestre"
"SYLATR";1993;"AD";"Court";13,8383292383292;15,6799999999999;17,3541666666667;19,1301369863014;23,2105263157894;"Terrestre"
"TROTRO";1993;"AD";"Court";8,37668825161887;8,64705882352943;9,79999999999996;10;12,0936170212766;"Terrestre"
"TURMER";1993;"AD";"Court";81,1015037593985;85,4994299179084;89,1463414634147;95,6250000000001;99,4741908482143;"Terrestre"
"TURPHI";1993;"AD";"Court";62,2728448275862;64,2629310344828;66,7410714285714;68,6116071428572;68,9611607142857;"Terrestre"
"ERIRUB";1994;"AD";"Court";15,4315789473684;16;16,3356643356643;17,4788732394366;21,9632719393283;"Terrestre"
"FRICOE";1994;"AD";"Court";20,9968210468622;21,1877226637435;21,3792134831461;21,5;21,5;"Terrestre"
"PARCAE";1994;"AD";"Court";10,0383064516129;10,383064516129;10,7661290322581;11,1491935483871;11,4939516129032;"Terrestre"
"PARMAJ";1994;"AD";"Court";16,6581791496175;17,555817470201;18,5531933819605;19,55056929372;20,4482076143035;"Terrestre"
"PHYCOL";1994;"AD";"Court";7,30231884057971;8,17719298245615;8,565350877193;8,85000000000003;9,66125;"Terrestre"
"PRUMOD";1994;"AD";"Court";19,4210259529602;19,5302287581699;20,5882352941177;20,9413281753707;21,8621212121212;"Terrestre"
"PYRULA";1994;"AD";"Court";20,8610319767442;22,1219476744186;23,5229651162791;24,9239825581395;26,184898255814;"Terrestre"
"SYLATR";1994;"AD";"Court";15,7004683544303;16,0748945147679;16,9615384615384;18,76;21,7419078947368;"Terrestre"
"TROTRO";1994;"AD";"Court";10,8972222222222;10,9722222222222;11;11,0769230769231;11,2846153846154;"Terrestre"
"TURMER";1994;"AD";"Court";77,9119495166488;82,7115384615388;90,7114624505929;94,0846341463415;101,008043032787;"Terrestre"
"TURPHI";1994;"AD";"Court";60,6702205882351;62,1958333333335;64,13608815427;72,7240912747751;76,5107300884958;"Terrestre"
"AEGCAU";1995;"AD";"Court";7,36206896551725;7,36206896551725;7,36206896551725;7,36206896551725;7,36206896551725;"Terrestre"
