"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
"ERIRUB";1991;"AD";"Court";14,6973333333333;15,5733333333333;15,5733333333333;17,4788732394366;19,9978873239437;"Terrestre"
"PARCAE";1991;"AD";"Court";11,2578125;11,2578125;11,2578125;11,2578125;11,2578125;"Terrestre"
"PARMAJ";1991;"AD";"Court";15,996317512275;16,3461538461538;16,9014084507042;17,0212765957447;17,4213057417662;"Terrestre"
"PHYCOL";1991;"AD";"Court";6,82644628099174;7,00625;7,62339791356185;7,86666666666667;8,36317733990148;"Terrestre"
"PRUMOD";1991;"AD";"Court";17,7955428337763;18,1046820691065;18,3066693330667;18,6496350364963;19,3394160583942;"Terrestre"
"SYLATR";1991;"AD";"Court";14,2782051282051;15;15,8926174496644;16,6760563380282;17,532;"Terrestre"
"TURMER";1991;"AD";"Court";77,1011764705882;80,3137254901961;84,6769230769231;88,6929133858268;96,2187636363636;"Terrestre"
"PARMAJ";1992;"AD";"Court";17,4657534246575;17,4657534246575;17,4657534246575;17,4657534246575;17,4657534246575;"Terrestre"
"PHYCOL";1992;"AD";"Court";6,77049180327869;6,77049180327869;6,77049180327869;6,77049180327869;6,77049180327869;"Terrestre"
"PRUMOD";1992;"AD";"Court";17,7464788732394;17,7464788732394;17,7464788732394;17,7464788732394;17,7464788732394;"Terrestre"
"SYLATR";1992;"AD";"Court";15,8555411255411;16,4465800865801;16,8866666666667;18,31;18,7466666666667;"Terrestre"
"TURMER";1992;"AD";"Court";76,2261208576998;79,5945419103314;82,2672064777328;84,409518539015;86,3459878251245;"Terrestre"
"ERIRUB";1993;"AD";"Court";14,5122629107981;15,5733333333333;15,7837837837838;15,7837837837838;19,3351351351351;"Terrestre"
"PARCAE";1993;"AD";"Court";10,6348056722689;10,987762605042;11,3799369747899;11,7721113445378;12,1250682773109;"Terrestre"
"PARMAJ";1993;"AD";"Court";16,8107876712329;17,1210346070656;17,4657534246575;17,7328767123288;17,9732876712329;"Terrestre"
"PHYCOL";1993;"AD";"Court";6,06612903225806;6,66129032258065;6,71544715447155;6,71544715447155;6,79846779237023;"Terrestre"
"PRUMOD";1993;"AD";"Court";15,5884194053208;16,1512128325509;18,2608695652174;19,6603148301574;21,7374890254609;"Terrestre"
"SYLATR";1993;"AD";"Court";14,8270715200293;16,4444444444444;17,4722222222222;18,2597402597403;23,2578947368421;"Terrestre"
"TURMER";1993;"AD";"Court";84,0159679774977;85,6509131156613;86,0079051383399;94,0154877334548;98,748347107438;"Terrestre"
"ERIRUB";1994;"AD";"Court";15,3684210526316;15,3684210526316;15,3684210526316;15,3684210526316;15,3684210526316;"Terrestre"
"PARCAE";1994;"AD";"Court";11,6209677419355;11,6209677419355;11,6209677419355;11,6209677419355;11,6209677419355;"Terrestre"
"PARMAJ";1994;"AD";"Court";16,5584415584416;16,5584415584416;16,5584415584416;16,5584415584416;16,5584415584416;"Terrestre"
"PHYCOL";1994;"AD";"Court";8,20869565217391;8,20869565217391;8,52934782608696;8,85;8,85;"Terrestre"
"PRUMOD";1994;"AD";"Court";19,292270531401;19,4444444444444;19,5588235294118;20,5882352941176;20,8247809762203;"Terrestre"
"SYLATR";1994;"AD";"Court";15,8195555555556;16,1155555555556;16,4444444444444;17,5955555555556;18,6315555555556;"Terrestre"
"TURMER";1994;"AD";"Court";80,7020735785953;83,0358974358974;88,6929133858268;92,0790513833992;101,910303030303;"Terrestre"
