NEW.ID_PROG;YEAR;JULIANDAY;nb_evenement;HS;DS;HEURE_MIN;HEURE_MAX;DUREE;DUREE_CONSIDEREE;VALIDE;SESSION
1;1988;181;64;;;08:30;13:40;5,17;5,17;TRUE;0
1;1989;199;125;;;06:00;13:00;7;7;TRUE;0
1;1990;143;119;;;07:00;13:30;6,5;6,5;TRUE;0
1;1990;165;131;;;06:25;13:55;7,5;7,5;TRUE;0
1;1991;156;111;;;06:35;13:40;7,08;7,08;TRUE;0
1;1991;179;72;;;06:45;13:45;7;7;TRUE;0
1;1992;156;69;;;06:30;13:39;7,15;7,15;TRUE;0
1;1992;175;68;;;06:22;13:20;6,97;6,97;TRUE;0
10;1991;146;64;;;06:30;13:05;6,58;6,58;TRUE;0
10;1991;176;98;;;06:15;13:00;6,75;6,75;TRUE;0
10;1992;152;41;;;06:45;12:05;5,33;5,33;TRUE;0
10;1992;173;119;;;06:27;13:15;6,8;6,8;TRUE;0
1003;2018;145;11;;;08:39;13:00;4,35;4,35;TRUE;1
1003;2018;159;9;;;06:30;12:00;5,5;5,5;TRUE;2
1003;2018;187;17;;;07:00;12:05;5,08;5,08;TRUE;3
1003;2019;137;17;;;06:40;10:50;4,17;4,17;TRUE;1
1003;2019;165;13;;;06:45;11:45;5;5;TRUE;2
1003;2019;186;10;;;06:25;10:45;4,33;4,33;TRUE;3
1004;2018;143;4;;;07:00;09:52;2,87;2,87;FALSE;1
1004;2018;156;4;;;06:00;09:40;3,67;3,67;FALSE;0
1004;2018;170;3;;;06:20;10:57;4,62;4,62;FALSE;2
1004;2018;187;6;;;06:05;11:03;4,97;4,97;TRUE;3
1004;2019;141;15;;;06:15;10:22;4,12;4,12;TRUE;1
1004;2019;155;15;;;06:00;09:46;3,77;3,77;FALSE;0
1004;2019;169;7;;;07:20;10:50;3,5;3,5;FALSE;2
1004;2019;183;11;;;06:04;09:39;3,58;3,58;FALSE;3
1009;2018;136;2;;;08:24;10:00;1,6;1,6;FALSE;0
1009;2018;166;4;;;06:35;10:00;3,42;3,42;FALSE;0
1009;2019;134;6;;;07:20;09:45;2,42;2,42;FALSE;1
1009;2019;165;10;;;07:00;10:20;3,33;3,33;FALSE;2
1009;2019;190;2;;;07:15;10:30;3,25;3,25;FALSE;3
100a;2003;107;6;;;07:00;13:00;6;6;TRUE;0
100a;2003;111;3;;;07:30;12:00;4,5;4,5;FALSE;0
100a;2003;137;4;;;06:30;09:45;3,25;3,25;FALSE;1
100a;2003;158;9;;;06:15;13:15;7;7;TRUE;2
100a;2003;170;5;;;05:45;07:45;2;2;FALSE;0
100a;2003;185;5;;;06:15;11:30;5,25;5,25;TRUE;3
100a;2004;137;9;;;06:00;11:45;5,75;5,75;TRUE;1
100a;2004;148;11;;;06:30;13:00;6,5;6,5;TRUE;0
100a;2004;159;7;;;06:00;10:30;4,5;4,5;TRUE;0
100a;2004;167;10;;;06:30;13:00;6,5;6,5;TRUE;2
100a;2004;177;6;;;06:00;12:45;6,75;6,75;TRUE;3
100a;2004;182;4;;;06:15;10:30;4,25;4,25;FALSE;0
100a;2005;96;9;;;07:30;12:30;5;5;TRUE;0
100a;2005;98;3;;;07:30;09:30;2;2;FALSE;0
100a;2005;101;10;;;07:00;13:30;6,5;6,5;TRUE;0
100a;2005;102;3;;;07:15;08:30;1,25;1,25;FALSE;0
100a;2005;103;2;;;07:45;11:30;3,75;3,75;FALSE;0
100a;2005;130;9;;;06:15;12:45;6,5;6,5;TRUE;0
100a;2005;138;11;;;06:00;12:30;6,5;6,5;TRUE;1
100a;2005;147;6;;;06:15;11:15;5;5;TRUE;0
100a;2005;156;3;;;05:45;11:15;5,5;5,5;FALSE;0
100a;2005;164;6;;;06:30;13:15;6,75;6,75;TRUE;2
100a;2005;172;9;;;06:00;11:30;5,5;5,5;TRUE;0
100a;2005;178;8;;;05:30;12:00;6,5;6,5;TRUE;3
100a;2006;91;4;;;08:00;10:00;2;2;FALSE;0
100a;2006;93;11;;;08:45;12:45;4;4;TRUE;0
100a;2006;94;3;;;07:45;09:45;2;2;FALSE;0
100a;2006;97;18;;;07:30;13:30;6;6;TRUE;0
100a;2006;98;10;;;07:45;13:30;5,75;5,75;TRUE;0
100a;2006;101;12;;;07:30;09:45;2,25;2,25;FALSE;0
100a;2006;104;10;;;07:15;12:00;4,75;4,75;TRUE;0
100a;2006;129;16;;;06:30;12:45;6,25;6,25;TRUE;0
100a;2006;135;18;;;06:45;13:30;6,75;6,75;TRUE;1
100a;2006;147;13;;;06:00;12:30;6,5;6,5;TRUE;0
100a;2006;156;8;;;05:45;13:30;7,75;7,75;TRUE;2
100a;2006;163;6;;;06:45;07:30;0,75;0,75;FALSE;0
100a;2006;164;2;;;12:45;12:45;0;0;FALSE;0
100a;2006;172;2;;;08:15;08:15;0;0;FALSE;0
100a;2006;181;10;;;05:45;08:45;3;3;FALSE;0
100a;2006;185;6;;;06:00;08:15;2,25;2,25;FALSE;0
100a;2006;188;4;;;09:45;12:00;2,25;2,25;FALSE;3
100a;2007;91;2;;;11:45;11:45;0;0;FALSE;0
100a;2007;96;9;;;07:30;09:30;2;2;FALSE;0
100a;2007;98;12;;;09:00;12:00;3;3;FALSE;0
100a;2007;100;6;;;08:00;12:00;4;4;TRUE;0
100a;2007;129;13;;;08:15;13:00;4,75;4,75;TRUE;0
100a;2007;135;12;;;06:30;11:45;5,25;5,25;TRUE;1
100a;2007;142;2;;;06:00;06:00;0;0;FALSE;0
100a;2007;150;6;;;06:15;07:45;1,5;1,5;FALSE;0
100a;2007;158;7;;;08:30;12:30;4;4;TRUE;0
100a;2007;166;15;;;07:15;11:15;4;4;TRUE;2
100a;2007;175;13;;;08:15;13:00;4,75;4,75;TRUE;0
100a;2007;181;9;;;08:00;13:30;5,5;5,5;TRUE;3
100b;2006;91;4;;;08:00;10:00;2;2;FALSE;0
100b;2006;93;11;;;08:45;12:45;4;4;TRUE;0
100b;2006;94;3;;;07:45;09:45;2;2;FALSE;0
100b;2006;97;18;;;07:30;13:30;6;6;TRUE;0
100b;2006;98;10;;;07:45;13:30;5,75;5,75;TRUE;0
100b;2006;101;12;;;07:30;09:45;2,25;2,25;FALSE;0
100b;2006;104;10;;;07:15;12:00;4,75;4,75;TRUE;0
100b;2006;129;16;;;06:30;12:45;6,25;6,25;TRUE;0
100b;2006;135;18;;;06:45;13:30;6,75;6,75;TRUE;1
100b;2006;147;13;;;06:00;12:30;6,5;6,5;TRUE;0
100b;2006;156;8;;;05:45;13:30;7,75;7,75;TRUE;2
100b;2006;163;6;;;06:45;07:30;0,75;0,75;FALSE;0
100b;2006;164;2;;;12:45;12:45;0;0;FALSE;0
100b;2006;172;2;;;08:15;08:15;0;0;FALSE;0
100b;2006;181;10;;;05:45;08:45;3;3;FALSE;3
100b;2006;185;6;;;06:00;08:15;2,25;2,25;FALSE;0
100b;2006;188;4;;;09:45;12:00;2,25;2,25;FALSE;0
100b;2007;91;2;;;11:45;11:45;0;0;FALSE;0
100b;2007;96;9;;;07:30;09:30;2;2;FALSE;0
100b;2007;98;12;;;09:00;12:00;3;3;FALSE;0
100b;2007;100;6;;;08:00;12:00;4;4;TRUE;0
100b;2007;129;13;;;08:15;13:00;4,75;4,75;TRUE;0
100b;2007;135;12;;;06:30;11:45;5,25;5,25;TRUE;1
100b;2007;142;2;;;06:00;06:00;0;0;FALSE;0
100b;2007;150;6;;;06:15;07:45;1,5;1,5;FALSE;0
100b;2007;158;7;;;08:30;12:30;4;4;TRUE;2
100b;2007;166;15;;;07:15;11:15;4;4;TRUE;0
100b;2007;175;13;;;08:15;13:00;4,75;4,75;TRUE;0
100b;2007;181;9;;;08:00;13:30;5,5;5,5;TRUE;3
100b;2008;126;13;;;07:00;12:45;5,75;5,75;TRUE;0
100b;2008;132;11;;;07:00;12:15;5,25;5,25;TRUE;0
100b;2008;138;9;;;06:15;10:30;4,25;4,25;TRUE;1
100b;2008;146;10;;;06:45;12:45;6;6;TRUE;0
100b;2008;153;5;;;06:45;12:45;6;6;TRUE;0
100b;2008;161;14;;;06:00;12:30;6,5;6,5;TRUE;2
100b;2008;170;6;;;07:15;12:30;5,25;5,25;TRUE;0
