"NEW.ID_PROG";"YEAR";"NB.SESSION";"NB.SESSION.MAX_MOST.FREQUENT";"DIFF.NB.SESSION"
"1";"1988";1;2;-1
"1";"1989";2;2;0
"1";"1990";2;2;0
"1";"1991";2;2;0
"1";"1992";2;2;0
"10";"1991";3;3;0
"10";"1992";2;3;-1
"100a";"2003";7;7;0
"100a";"2004";6;7;-1
"100a";"2005";12;7;5
"100a";"2006";17;7;10
"100a";"2007";11;7;4
"100b";"2006";17;17;0
"100b";"2007";11;17;-6
"100b";"2008";17;17;0
"100b";"2009";6;17;-11
"100b";"2010";5;17;-12
"100b";"2012";1;17;-16
"100b";"2013";7;17;-10
"100b";"2014";1;17;-16
"101a";"2003";3;3;0
"101a";"2004";3;3;0
"101a";"2005";3;3;0
"101a";"2006";3;3;0
"101a";"2007";17;3;14
"101a";"2009";3;3;0
"101a";"2010";2;3;-1
"101b";"2011";4;3;1
"101b";"2012";4;3;1
"101b";"2013";3;3;0
"101b";"2014";3;3;0
"101b";"2015";3;3;0
"102";"2002";3;3;0
"102";"2003";3;3;0
"102";"2004";3;3;0
"104";"2003";2;3;-1
"104";"2004";3;3;0
"104";"2005";3;3;0
"104";"2006";3;3;0
"104";"2007";2;3;-1
"104";"2008";3;3;0
"104";"2009";3;3;0
"104";"2010";2;3;-1
"104";"2011";2;3;-1
"104";"2012";3;3;0
"105";"2004";4;4;0
"105";"2005";4;4;0
"105";"2006";4;4;0
"105";"2010";4;4;0
"105";"2011";4;4;0
"105";"2012";4;4;0
"106";"2003";4;3;1
"106";"2004";3;3;0
"106";"2005";3;3;0
"106";"2006";3;3;0
"106";"2007";8;3;5
"106";"2008";3;3;0
"106";"2009";3;3;0
"106";"2010";6;3;3
"106";"2011";3;3;0
"106";"2012";3;3;0
"106";"2013";4;3;1
"107";"2003";5;5;0
"107";"2005";5;5;0
"107";"2006";4;5;-1
"107";"2007";1;5;-4
"107";"2008";5;5;0
"107";"2009";6;5;1
"107";"2010";5;5;0
"107";"2011";4;5;-1
"107";"2012";4;5;-1
"108";"2003";3;3;0
"108";"2004";3;3;0
"108";"2005";3;3;0
"108";"2006";3;3;0
"108";"2007";3;3;0
"108";"2008";3;3;0
"108";"2009";3;3;0
"108";"2010";3;3;0
"108";"2011";3;3;0
"108";"2012";3;3;0
"108";"2013";1;3;-2
"108";"2014";3;3;0
"108";"2015";2;3;-1
"108";"2016";2;3;-1
"109";"2003";3;3;0
"109";"2004";4;3;1
"109";"2006";3;3;0
"109";"2007";2;3;-1
"109";"2008";4;3;1
"109";"2009";4;3;1
"109";"2010";6;3;3
"109";"2011";3;3;0
"109";"2012";2;3;-1
"109";"2013";3;3;0
"109";"2014";2;3;-1
"11";"1989";1;2;-1
"11";"1993";2;2;0
"11";"1994";1;2;-1
"11";"1995";2;2;0
"11";"1996";2;2;0
"11";"1997";1;2;-1
"11";"1998";2;2;0
"11";"1999";2;2;0
"11";"2000";2;2;0
"11";"2001";2;2;0
"11";"2002";1;2;-1
"11";"2003";2;2;0
"11";"2004";1;2;-1
"11";"2005";2;2;0
"110";"2003";2;2;0
"110";"2004";1;2;-1
"110";"2005";6;2;4
"110";"2006";2;2;0
"110";"2008";5;2;3
"111";"2004";5;5;0
"111";"2005";5;5;0
"111";"2006";6;5;1
"111";"2007";4;5;-1
"112";"2004";3;3;0
"112";"2005";3;3;0
"112";"2006";3;3;0
"112";"2007";3;3;0
"112";"2008";1;3;-2
"114";"2003";4;4;0
"114";"2004";1;4;-3
"114";"2005";4;4;0
"114";"2006";4;4;0
"114";"2007";4;4;0
"114";"2008";4;4;0
"114";"2009";4;4;0
"114";"2010";4;4;0
"114";"2011";4;4;0
"114";"2012";4;4;0
"114";"2013";4;4;0
"114";"2014";4;4;0
"114";"2015";4;4;0
"115";"2003";3;3;0
"115";"2004";3;3;0
"115";"2005";3;3;0
"115";"2006";3;3;0
"116";"2003";4;4;0
"116";"2004";4;4;0
"116";"2007";6;4;2
"116";"2008";2;4;-2
"116";"2010";1;4;-3
"117";"2003";4;4;0
"117";"2004";4;4;0
"117";"2005";4;4;0
"117";"2006";4;4;0
"117";"2007";4;4;0
"117";"2008";4;4;0
"117";"2009";4;4;0
"117";"2010";3;4;-1
"117";"2011";4;4;0
"117";"2012";2;4;-2
"117";"2014";3;4;-1
"117";"2015";3;4;-1
"118";"2003";5;5;0
"118";"2004";4;5;-1
"118";"2007";5;5;0
"118";"2008";6;5;1
"118";"2009";3;5;-2
"118";"2010";4;5;-1
"118";"2011";5;5;0
"118";"2012";5;5;0
"118";"2013";6;5;1
"118";"2014";4;5;-1
"118";"2015";3;5;-2
"12";"1990";3;3;0
"12";"1991";3;3;0
"12";"1992";3;3;0
"12";"1993";3;3;0
"12";"1994";3;3;0
"12";"1995";3;3;0
"12";"1996";3;3;0
"12";"1997";3;3;0
"12";"1998";5;3;2
"12";"1999";3;3;0
"12";"2000";4;3;1
"12";"2001";3;3;0
"12";"2002";3;3;0
"12";"2003";1;3;-2
"12";"2005";3;3;0
"12";"2007";1;3;-2
"12";"2010";3;3;0
"12";"2011";3;3;0
"12";"2012";3;3;0
"12";"2013";3;3;0
"12";"2014";3;3;0
"12";"2015";3;3;0
"12";"2016";3;3;0
"120";"2004";1;3;-2
"120";"2005";2;3;-1
"120";"2007";3;3;0
"120";"2008";3;3;0
"121";"2004";3;3;0
"121";"2005";3;3;0
"121";"2006";3;3;0
"121";"2007";3;3;0
"121";"2008";3;3;0
"122";"2005";3;3;0
"122";"2006";3;3;0
"122";"2007";3;3;0
"122";"2008";3;3;0
"122";"2009";3;3;0
"122";"2010";3;3;0
"122";"2011";3;3;0
"122";"2012";3;3;0
"122";"2013";3;3;0
"122";"2014";2;3;-1
"122";"2015";3;3;0
"123";"2004";3;3;0
"123";"2005";3;3;0
"124";"2004";4;4;0
"124";"2005";3;4;-1
"125";"2004";4;3;1
"125";"2005";3;3;0
"125";"2006";3;3;0
"125";"2007";3;3;0
"125";"2008";1;3;-2
"125";"2009";4;3;1
"125";"2010";5;3;2
"125";"2011";3;3;0
"125";"2012";3;3;0
"125";"2013";3;3;0
"125";"2014";2;3;-1
"125";"2015";3;3;0
"125";"2016";3;3;0
"126";"2004";3;3;0
"126";"2005";3;3;0
"126";"2006";3;3;0
"126";"2007";3;3;0
"126";"2008";3;3;0
"127";"2004";5;3;2
"127";"2005";4;3;1
"127";"2006";4;3;1
"127";"2007";3;3;0
"127";"2008";3;3;0
"127";"2009";2;3;-1
"127";"2010";3;3;0
"127";"2011";3;3;0
"127";"2012";3;3;0
"127";"2013";3;3;0
"128";"2004";3;3;0
"128";"2005";3;3;0
"128";"2006";2;3;-1
"128";"2007";2;3;-1
"130";"2004";4;4;0
"130";"2005";4;4;0
"130";"2006";3;4;-1
"130";"2007";4;4;0
"130";"2008";3;4;-1
"130";"2010";4;4;0
"130";"2011";3;4;-1
"131";"2004";5;3;2
"131";"2005";3;3;0
"131";"2006";3;3;0
"131";"2007";2;3;-1
"131";"2008";3;3;0
"131";"2009";3;3;0
"131";"2010";2;3;-1
"131";"2012";3;3;0
"131";"2014";3;3;0
"131";"2015";3;3;0
"132";"2005";3;3;0
"132";"2006";4;3;1
"132";"2007";3;3;0
"132";"2008";4;3;1
"134";"2004";3;3;0
"134";"2005";3;3;0
"134";"2007";1;3;-2
"135";"2004";7;7;0
"135";"2005";12;7;5
"135";"2007";6;7;-1
"135";"2008";7;7;0
"136";"2004";4;4;0
"136";"2005";4;4;0
"136";"2006";4;4;0
"136";"2007";4;4;0
"136";"2008";4;4;0
"136";"2009";4;4;0
"136";"2010";3;4;-1
"136";"2011";3;4;-1
"136";"2012";3;4;-1
"136";"2013";4;4;0
"136";"2014";4;4;0
"136";"2015";4;4;0
"137";"2004";3;3;0
"137";"2005";3;3;0
"137";"2006";3;3;0
"139b";"2007";3;3;0
"139b";"2008";3;3;0
"139c";"2009";3;3;0
"139c";"2010";3;3;0
"139c";"2011";3;3;0
"139c";"2013";3;3;0
"139c";"2014";3;3;0
"139c";"2015";3;3;0
"139c";"2016";3;3;0
"13a";"1990";3;3;0
"13a";"1991";3;3;0
"13a";"1992";3;3;0
"13a";"1993";3;3;0
"13b";"1994";3;3;0
"13b";"1995";3;3;0
"13b";"1996";3;3;0
"13b";"1997";3;3;0
"13b";"1998";3;3;0
"13c";"2000";2;2;0
"13c";"2001";3;2;1
"13d";"2003";3;3;0
"13d";"2004";3;3;0
"13d";"2005";3;3;0
"13d";"2006";3;3;0
"13d";"2007";3;3;0
"13d";"2008";4;3;1
"14";"1989";5;5;0
"14";"1990";5;5;0
"14";"1991";5;5;0
"14";"1992";6;5;1
"14";"1993";7;5;2
"14";"1994";7;5;2
"14";"1995";2;5;-3
"14";"1996";5;5;0
"14";"1997";7;5;2
"14";"1998";8;5;3
"14";"1999";5;5;0
"14";"2000";5;5;0
"14";"2001";2;5;-3
"14";"2002";5;5;0
"14";"2003";6;5;1
"14";"2004";5;5;0
"14";"2005";6;5;1
"14";"2006";5;5;0
"14";"2007";6;5;1
"14";"2008";5;5;0
"14";"2009";5;5;0
"14";"2010";6;5;1
"14";"2011";5;5;0
"14";"2012";5;5;0
"140";"2005";3;3;0
"140";"2006";3;3;0
"140";"2007";3;3;0
"140";"2008";3;3;0
"140";"2009";3;3;0
"140";"2010";3;3;0
"140";"2011";3;3;0
"140";"2012";1;3;-2
"140";"2013";3;3;0
"140";"2014";3;3;0
"141";"2007";2;2;0
"141";"2008";2;2;0
"141";"2009";3;2;1
"141";"2010";3;2;1
"142";"2005";3;3;0
"142";"2006";2;3;-1
"142";"2007";3;3;0
"142";"2008";3;3;0
"142";"2009";2;3;-1
"142";"2010";3;3;0
"142";"2011";3;3;0
"143";"2005";3;3;0
"143";"2006";3;3;0
"143";"2007";3;3;0
"143";"2008";3;3;0
"144";"2005";3;2;1
"144";"2006";3;2;1
"144";"2007";2;2;0
"144";"2008";2;2;0
"144";"2009";2;2;0
"145";"2006";3;3;0
"145";"2007";3;3;0
"145";"2008";2;3;-1
"145";"2009";3;3;0
"145";"2010";2;3;-1
"146";"2005";4;2;2
"146";"2006";2;2;0
"146";"2007";3;2;1
"146";"2008";2;2;0
"147";"2005";3;3;0
"147";"2006";1;3;-2
"147";"2007";5;3;2
"147";"2008";5;3;2
"147";"2009";4;3;1
"147";"2010";3;3;0
"147";"2011";2;3;-1
"147";"2014";2;3;-1
"148";"2005";5;5;0
"148";"2006";5;5;0
"148";"2007";5;5;0
