"YEAR";"HABITAT";"ESPECE";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2009;"Terrestre";"ACRMEL";"Court";0;0;0;0;0
2003;"Aquatique";"AEGCAU";"Court";0;0;0;0;0
2008;"Aquatique";"AEGCAU";"Court";0;0;0;0;0
2014;"Aquatique";"AEGCAU";"Court";0;0;0;0;0
2015;"Aquatique";"AEGCAU";"Court";1;1;1;1;1
2016;"Aquatique";"AEGCAU";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325
2017;"Aquatique";"AEGCAU";"Court";0,833333333333333;0,833333333333333;0,833333333333333;0,833333333333333;0,833333333333333
2006;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
2007;"STOC-rozo";"AEGCAU";"Court";0,442857142857143;0,571428571428571;0,714285714285714;0,857142857142857;0,985714285714286
2008;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
2012;"STOC-rozo";"AEGCAU";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2013;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
2015;"STOC-rozo";"AEGCAU";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2016;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
2017;"STOC-rozo";"AEGCAU";"Court";0;0;0;0;0
1989;"Terrestre";"AEGCAU";"Court";0;0;0;0;0
1990;"Terrestre";"AEGCAU";"Court";0,028125;0,28125;0,5625;0,647916666666667;0,724791666666667
1991;"Terrestre";"AEGCAU";"Court";0,03;0,3;0,414285714285714;0,571428571428571;0,957142857142857
1992;"Terrestre";"AEGCAU";"Court";0;0;0,34375;0,765625;0,9765625
1993;"Terrestre";"AEGCAU";"Court";0,03125;0,3125;0,458333333333333;0,5;0,5
1994;"Terrestre";"AEGCAU";"Court";0,0076923076923077;0,0769230769230769;0,153846153846154;0,576923076923077;0,957692307692308
1995;"Terrestre";"AEGCAU";"Court";0,5;0,5;0,5;0,5;0,5
1996;"Terrestre";"AEGCAU";"Court";0,0125;0,125;0,25;0,375;0,4875
1997;"Terrestre";"AEGCAU";"Court";0,0166666666666666;0,166666666666667;0,333333333333333;0,5;0,65
1998;"Terrestre";"AEGCAU";"Court";0,0166666666666667;0,166666666666667;0,333333333333333;0,5;0,65
1999;"Terrestre";"AEGCAU";"Court";0,0173076923076922;0,173076923076923;0,346153846153846;0,519230769230769;0,675
2000;"Terrestre";"AEGCAU";"Court";0;0;0,666666666666667;0,909090909090909;0,990909090909091
2001;"Terrestre";"AEGCAU";"Court";0;0;0,25;0,6875;0,96875
2002;"Terrestre";"AEGCAU";"Court";0;0;0,25;1;1
2003;"Terrestre";"AEGCAU";"Court";0;0,25;0,714285714285714;1;1
2004;"Terrestre";"AEGCAU";"Court";0;0;0;0,375;0,915
2005;"Terrestre";"AEGCAU";"Court";0;0;0;0,459821428571429;1
2006;"Terrestre";"AEGCAU";"Court";0;0;0;0,5;1
2007;"Terrestre";"AEGCAU";"Court";0;0;0,5;0,766666666666667;1
2008;"Terrestre";"AEGCAU";"Court";0;0;0,222222222222222;0,55;1
2009;"Terrestre";"AEGCAU";"Court";0;0;0;0,5;1
2010;"Terrestre";"AEGCAU";"Court";0;0;0,4;0,6;1
2011;"Terrestre";"AEGCAU";"Court";0;0;0,472222222222222;0,8125;1
2012;"Terrestre";"AEGCAU";"Court";0;0;0,366666666666667;0,657894736842105;1
2013;"Terrestre";"AEGCAU";"Court";0;0;0;0,333333333333333;0,631304347826087
2014;"Terrestre";"AEGCAU";"Court";0;0;0;0,571428571428571;0,944444444444444
2015;"Terrestre";"AEGCAU";"Court";0;0;0,5;0,90625;1
2016;"Terrestre";"AEGCAU";"Court";0;0;0;0,375;1
2017;"Terrestre";"AEGCAU";"Court";0;0;0,5;0,75;1
2018;"Terrestre";"AEGCAU";"Court";0;0;0;0,428571428571429;0,95
2019;"Terrestre";"AEGCAU";"Court";0;0;0;0,795833333333333;1
2013;"Aquatique";"ALCATT";"Court";0;0;0;0;0
2019;"Aquatique";"ALCATT";"Court";0;0;0;0;0
2007;"STOC-rozo";"ALCATT";"Court";1;1;1;1;1
2011;"STOC-rozo";"ALCATT";"Court";0;0;0;0;0
2012;"STOC-rozo";"ALCATT";"Court";0;0;0;0;0
2014;"STOC-rozo";"ALCATT";"Court";0,5;0,5;0,5;0,5;0,5
2015;"STOC-rozo";"ALCATT";"Court";1;1;1;1;1
2017;"STOC-rozo";"ALCATT";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2018;"STOC-rozo";"ALCATT";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
2019;"STOC-rozo";"ALCATT";"Court";0;0;0;0;0
1990;"Terrestre";"ALCATT";"Court";0,5;0,5;0,5;0,5;0,5
1991;"Terrestre";"ALCATT";"Court";1;1;1;1;1
1992;"Terrestre";"ALCATT";"Court";0;0;0;0;0
1993;"Terrestre";"ALCATT";"Court";0;0;0;0;0
1994;"Terrestre";"ALCATT";"Court";0,2;0,2;0,2;0,2;0,2
1995;"Terrestre";"ALCATT";"Court";0;0;0;0;0
1996;"Terrestre";"ALCATT";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
1997;"Terrestre";"ALCATT";"Court";1;1;1;1;1
2000;"Terrestre";"ALCATT";"Court";1;1;1;1;1
2001;"Terrestre";"ALCATT";"Court";0;0;0;0;0
2002;"Terrestre";"ALCATT";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2003;"Terrestre";"ALCATT";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2004;"Terrestre";"ALCATT";"Court";0;0;0,4;0,5;0,65
2005;"Terrestre";"ALCATT";"Court";0,05;0,5;1;1;1
2006;"Terrestre";"ALCATT";"Court";0,025;0,25;0,5;0,75;0,975
2007;"Terrestre";"ALCATT";"Court";0,333333333333333;0,5;1;1;1
2008;"Terrestre";"ALCATT";"Court";0;0;0;0,166666666666667;0,316666666666667
2009;"Terrestre";"ALCATT";"Court";1;1;1;1;1
2010;"Terrestre";"ALCATT";"Court";0;0;0;0,5;0,95
2011;"Terrestre";"ALCATT";"Court";0;0;0;1;1
2012;"Terrestre";"ALCATT";"Court";0,025;0,25;0,5;0,75;0,975
2014;"Terrestre";"ALCATT";"Court";0,0875;0,5;0,775;1;1
2015;"Terrestre";"ALCATT";"Court";0;0;0,333333333333333;0,75;0,975
2016;"Terrestre";"ALCATT";"Court";0;0;0;0;0
2017;"Terrestre";"ALCATT";"Court";1;1;1;1;1
2018;"Terrestre";"ALCATT";"Court";0,0750000000000001;0,75;1;1;1
2019;"Terrestre";"ALCATT";"Court";0;0;0;0;0
2007;"Aquatique";"ANTPRA";"Court";0;0;0;0;0
2010;"Aquatique";"ANTPRA";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
2017;"Aquatique";"ANTPRA";"Court";1;1;1;1;1
2008;"Aquatique";"ASIOTU";"Court";0;0;0;0;0
2015;"Terrestre";"ASIOTU";"Court";0;0;0;0;0
2003;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2004;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2006;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2009;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
2014;"Terrestre";"ATHNOC";"Court";0;0;0;0;0
