"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
1989;"AD";"Court";0,101988636363636;0,201704545454545;0,3125;0,318412162162162;0,323733108108108;"Terrestre"
1990;"AD";"Court";0;0,0456349206349206;0,104166666666667;0,170434782608696;0,221354166666667;"Terrestre"
1991;"AD";"Court";0,0125;0,0782402528977871;0,141604010025063;0,150244584206848;0,184564777327935;"Terrestre"
1992;"AD";"Court";0;0,0608974358974359;0,112330198537095;0,169407894736842;0,246844293272865;"Terrestre"
1993;"AD";"Court";0;0,0376893939393939;0,1;0,18322420410928;0,282419867873746;"Terrestre"
1994;"AD";"Court";0;0,015625;0,105119825708061;0,152795345307361;0,266650853889943;"Terrestre"
1995;"AD";"Court";0;0;0,19047619047619;0,258211417096959;0,422916666666667;"Terrestre"
1996;"AD";"Court";0,014;0,0881818181818182;0,123724489795918;0,14702380952381;0,213333333333333;"Terrestre"
1997;"AD";"Court";0,00909090909090909;0,0625;0,130434782608696;0,157894736842105;0,183333333333333;"Terrestre"
1998;"AD";"Court";0;0;0,12143928035982;0,189278937381404;0,270277777777778;"Terrestre"
1999;"AD";"Court";0;0;0,19672131147541;0,221212121212121;0,256734006734007;"Terrestre"
2000;"AD";"Court";0;0;0,125;0,154304029304029;0,216071428571429;"Terrestre"
2001;"AD";"Court";0;0,040474060822898;0,0941176470588235;0,153421052631579;0,347329812206573;"Terrestre"
2002;"AD";"Court";0;0;0;0,160919540229885;0,313220940550133;"Terrestre"
2003;"AD";"Court";0;0,0669056152927121;0,150452488687783;0,189732142857143;0,33125;"Terrestre"
2004;"AD";"Court";0;0;0,0909090909090909;0,130434782608696;0,230769230769231;"Terrestre"
2005;"AD";"Court";0;0;0,0213151927437642;0,136755485893417;0,306043956043956;"Terrestre"
2006;"AD";"Court";0;0,01875;0,106685633001422;0,195833333333333;0,324107142857143;"Terrestre"
2007;"AD";"Court";0;0,0505952380952381;0,109126984126984;0,190625;0,309735576923077;"Terrestre"
2008;"AD";"Court";0;0;0,08;0,152680652680653;0,291871921182266;"Terrestre"
2009;"AD";"Court";0;0,0306142603199684;0,0871212121212121;0,162634408602151;0,327678571428571;"Terrestre"
2010;"AD";"Court";0;0;0,0833333333333333;0,164473684210526;0,331216577540107;"Terrestre"
2011;"AD";"Court";0;0;0,0666666666666667;0,133333333333333;0,230074719800747;"Terrestre"
2012;"AD";"Court";0;0;0,0640368852459016;0,155649038461538;0,25625;"Terrestre"
2013;"AD";"Court";0;0;0,0909090909090909;0,173913043478261;0,356643356643357;"Terrestre"
2014;"AD";"Court";0;0,0434782608695652;0,1;0,185185185185185;0,370562770562771;"Terrestre"
2015;"AD";"Court";0;0;0,0919661733615222;0,183238636363636;0,385;"Terrestre"
2016;"AD";"Court";0;0;0,0741758241758242;0,145593869731801;0,271904761904762;"Terrestre"
2017;"AD";"Court";0;0;0,08;0,163265306122449;0,290909090909091;"Terrestre"
