SP;HABITAT_SP;COLOUR;TOP
ACCNIS;NOTPALU;;
ACRAGR;PALU;;
ACRARU;PALU;;
ACRMEL;PALU;;
ACRRIS;PALU;#ecfb2b;1
ACRSCH;PALU;#a9b323;1
ACRSCI;PALU;#ffd83c;1
ACRSPE;PALU;;
ACTHYP;PALU;;
AEGCAU;NOTPALU;;
ALAARV;NOTPALU;;
ALCATT;PALU;;
ALEUFA;NOTPALU;;
ANAHOS;PALU;;
ANTPRA;NOTPALU;;
ANTRIS;NOTPALU;;
ANTTRI;NOTPALU;;
APUAPU;NOTPALU;;
ASIOTU;NOTPALU;;
ATHNOC;NOTPALU;;
BUROED;NOTPALU;;
BUTBUT;NOTPALU;;
CAPEUR;NOTPALU;;
CARCHL;NOTPALU;;
CARINA;NOTPALU;;
CARLIS;NOTPALU;;
CARMEA;NOTPALU;;
CARNUS;NOTPALU;;
CERRIS;NOTPALU;;
CERYLA;NOTPALU;;
CETCET;PALU;;
CICLUS;PALU;;
CISJUN;PALU;;
COCTES;NOTPALU;;
CODULA;NOTPALU;;
COLBUS;NOTPALU;;
COLLIV;NOTPALU;;
COLNAS;NOTPALU;;
CORFRU;NOTPALU;;
CORGAR;NOTPALU;;
CORONE;NOTPALU;;
CUCCAN;NOTPALU;;
DELURB;NOTPALU;;
DENMAJ;NOTPALU;;
DENMED;NOTPALU;;
DENMIN;NOTPALU;;
DRYMAR;NOTPALU;;
EMBAUR;NOTPALU;;
EMBCIA;NOTPALU;;
EMBCIR;NOTPALU;;
EMBCIT;NOTPALU;;
EMBHOR;NOTPALU;;
EMBSCH;PALU;#3c3cff;1
ERIRUB;NOTPALU;#86f4b2;1
FALTEO;NOTPALU;;
FALTIN;NOTPALU;;
FICALB;NOTPALU;;
FICUCA;NOTPALU;;
FRICOE;NOTPALU;;
GALAGO;PALU;;
GALATA;NOTPALU;;
GALCHL;PALU;;
GARGLA;NOTPALU;;
HIMHIM;PALU;;
HIPICT;NOTPALU;;
HIPPAL;NOTPALU;;
HIPPOL;NOTPALU;;
HIRRUP;NOTPALU;;
HIRRUS;NOTPALU;;
IXOMIN;PALU;;
JYNTOR;NOTPALU;;
LAITOR;NOTPALU;;
LANMER;NOTPALU;;
LANRIO;NOTPALU;;
LANSEN;NOTPALU;;
LOCLUS;PALU;;
LOCNAE;PALU;;
LOXCUR;NOTPALU;;
LULARB;NOTPALU;;
LUSMEG;NOTPALU;#7daf91;1
LUSSVE;PALU;#003cef;1
MERAPI;NOTPALU;;
MILCAL;NOTPALU;;
MILMIG;NOTPALU;;
MOTALB;NOTPALU;;
MOTCIN;NOTPALU;;
MOTFLA;NOTPALU;;
MUSSTR;NOTPALU;;
NYCNYC;PALU;;
OENOEN;NOTPALU;;
ORIORI;NOTPALU;;
OTUSCO;NOTPALU;;
PANBIA;PALU;#ff9e15;1
PAPALU;NOTPALU;;
PARATE;NOTPALU;;
PARCAE;NOTPALU;#228048;1
PARCRI;NOTPALU;;
PARMAJ;NOTPALU;#0ad85d;1
PARNUS;NOTPALU;;
PASDOM;NOTPALU;;
PASMON;NOTPALU;;
PETPET;NOTPALU;;
PHACUS;NOTPALU;;
PHFUSC;NOTPALU;;
PHOOCH;NOTPALU;;
PHOPHO;NOTPALU;;
PHYBON;NOTPALU;;
PHYCOL;NOTPALU;#d80ac6;1
PHYLUS;NOTPALU;;
PHYSIB;NOTPALU;;
PICCAN;NOTPALU;;
PICDIS;NOTPALU;;
PICPIC;NOTPALU;;
PORANA;PALU;;
PRUMOD;NOTPALU;#85044f;1
PYRULA;NOTPALU;;
RALAQU;PALU;;
REGIGN;NOTPALU;;
REGREG;NOTPALU;;
REMPEN;PALU;;
RIPRIP;NOTPALU;;
SAXRUB;NOTPALU;;
SAXTOR;NOTPALU;;
SERLIS;NOTPALU;;
SERLLA;NOTPALU;;
SERSER;NOTPALU;;
SITEUR;NOTPALU;;
SPESPE;NOTPALU;;
STRALU;NOTPALU;;
STRCTO;NOTPALU;;
STRTUR;NOTPALU;;
STUVUL;NOTPALU;;
SYLALA;NOTPALU;;
SYLATR;NOTPALU;#e03769;1
SYLBOR;NOTPALU;#eb5152;1
SYLCAN;NOTPALU;;
SYLCOM;NOTPALU;#931819;1
SYLCUR;NOTPALU;;
SYLHOR;NOTPALU;;
SYLSAR;NOTPALU;;
SYLUND;NOTPALU;;
TRIOCH;PALU;#69acf5;1
TRITOT;PALU;#69d6f5;1
TROTRO;NOTPALU;#adde7f;1
TURILI;NOTPALU;;
TURMER;NOTPALU;#149e15;1
TURPHI;NOTPALU;;
TURPIL;NOTPALU;;
TURTOR;NOTPALU;;
TURVIS;NOTPALU;;
TYTALB;NOTPALU;;
UPUEPO;NOTPALU;;
