NEW.ID_PROG,LONG,LAT,PRECISION,COMMUNES,BIOGEO,REGION,ALTITUDE
4,558197.198486,6319429.27198,commune,MONTECH,atlantique,MIDI-PYRENEES,101
7,537735.289598,6825555.31516,commune,MAGE (LE),atlantique,BASSE-NORMANDIE,210
11,575285.891931,6499646.56828,commune,CHATEAU-CHERVIX,continental,LIMOUSIN,411
12,1042959.215,6732100.08806,commune,VILLAGE-NEUF,continental,ALSACE,245
14,958593.723932,6880521.04833,commune,ARRAINCOURT,continental,LORRAINE,249
15,796585.029304,6964565.47676,commune,LIART,continental,CHAMPAGNE-ARDENNE,240
18,791295.411266,6508357.78749,commune,MAGNEUX-HAUTE-RIVE,continental,RHONE-ALPES,358
25,831756.147387,6286851.5805,commune,ARLES,mediterraneen,PROVENCE-ALPES-COTE-D'AZUR,4
32,386924.803694,6554681.81745,commune,YVES,atlantique,POITOU-CHARENTE,3
34,857398.750282,6408856.73718,commune,EURRE,mediterraneen,RHONE-ALPES,208
37,646238.089658,6586573.19096,commune,LEYRAT,continental,LIMOUSIN,406
40,601571.886695,6637561.39697,commune,DEOLS,atlantique,CENTRE,152
42,647364.944754,7073449.5927,commune,SAINT-OMER,atlantique,NORD-PAS-DE-CALAIS,4
43,647364.944754,7073449.5927,commune,SAINT-OMER,atlantique,NORD-PAS-DE-CALAIS,4
46,1037816.79168,6794553.73735,commune,MARCKOLSHEIM,continental,ALSACE,178
47,384836.103066,6541486.50921,commune,SAINT-FROULT,atlantique,POITOU-CHARENTE,3
49,468285.973507,6779396.01284,commune,SAINT-SYMPHORIEN,atlantique,PAYS-DE-LA-LOIRE,131
50,463253.627622,6735761.09426,commune,CRE,atlantique,PAYS-DE-LA-LOIRE,37
51,504548.96546,6937680.04568,commune,OUDALLE,atlantique,HAUTE-NORMANDIE,33
52,508868.791649,6936131.27068,commune,SAINT-VIGOR-D'YMONVILLE,atlantique,HAUTE-NORMANDIE,23
53,508868.791649,6936131.27068,commune,SAINT-VIGOR-D'YMONVILLE,atlantique,HAUTE-NORMANDIE,23
54,512630.625905,6937409.51506,commune,CERLANGUE (LA),atlantique,HAUTE-NORMANDIE,52
56,104726.426583,6848921.47047,commune,OUESSANT,atlantique,BRETAGNE,25
58,478810.778823,6897939.31583,commune,CORBON,atlantique,BASSE-NORMANDIE,155
59,536672.108317,6704854.40224,commune,VERNOU-SUR-BRENNE,atlantique,CENTRE,86
60,617310.799538,6862511.23941,commune,BEYNES,atlantique,ILE-DE-FRANCE,96
61,766102.698357,6518030.12036,commune,VALLA (LA),continental,RHONE-ALPES,852
64,627199.547232,6853614.19693,commune,TRAPPES,atlantique,ILE-DE-FRANCE,166
65,627199.547232,6853614.19693,commune,TRAPPES,atlantique,ILE-DE-FRANCE,166
66,382127.338924,6406359.07099,commune,AUDENGE,atlantique,AQUITAINE,32
67,917727.824075,6291011.50707,commune,CHEVAL-BLANC,mediterraneen,PROVENCE-ALPES-COTE-D'AZUR,280
69,623573.576859,6847031.21503,commune,DAMPIERRE-EN-YVELINES,atlantique,ILE-DE-FRANCE,145
71,777648.011595,6497420.67781,commune,VERRIERES-EN-FOREZ,continental,RHONE-ALPES,910
72,833688.388445,6660735.50593,commune,NANTOUX,continental,BOURGOGNE,365
