ID_PROG,FIRST.YEAR,LAST.YEAR,NEW.ID_PROG,COMMENTS
1,1993,1993,XX,
2,1989,1989,XX,
2,1990,1995,2a,
2,1999,2004,2b,
13,1989,1989,XX,
13,1990,1993,13a,
13,1994,1998,13b,
13,2000,2001,13c,
13,2002,2002,XX,
13,2003,2008,13d,
13,2009,2010,13e,
14,2013,,XX,
17,1990,1990,XX,
17,1991,1995,17a,
17,1996,2008,17b,
17,2009,,17c,
21,1989,1989,XX,
22,2000,,22b,
22,,1999,22a,
27,2005,,27b,
27,,2003,27a,
34,,2000,XX,
38,1993,1993,XX,
39,1995,,39,necessite peut etre un split
41,1996,2001,41a,
41,2002,2007,41b,
44,1997,2002,44a,
44,2003,2003,XX,
44,2004,2007,44b,
44,2010,,44c,
45,1999,1999,XX,
47,2000,2000,XX,
48,,,XX,
59,,2003,XX,
63,2001,2008,63a,
63,2009,2010,63b,
63,2011,,63c,
67,2002,2003,67a,
67,2005,2006,67b,
67,2008,2010,67c,
68,2004,2004,XX,
70,,,XX,
79,2001,2001,XX,
80,2004,2004,XX,
91,2002,2002,XX,
92,2010,2010,XX,
99,2005,2005,XX,
100,2002,2002,XX,
100,2003,2007,100a,
100,2006,,100b,
101,2002,2002,XX,
101,2003,2010,101a,
101,2011,,101b,
102,2005,2005,XX,
105,2003,2003,XX,
124,2006,2006,XX,
132,2004,2004,XX,
139,2005,2006,139a,
139,2007,2008,139b,
139,2009,,139c,
151,2013,,XX,
159,2011,,159b,
159,,2010,159a,
160,2003,,160a,
160,2007,,160b,
166,2008,2008,XX,
171,2007,2007,140,
194,2005,2005,XX,
194,2007,2007,XX,
208,2010,2010,XX,
209,2007,,209b,
209,,2006,209a,
210,2004,2004,XX,
210,2005,2005,XX,
212,2007,2007,XX,
218,2010,2011,XX,
225,2010,2010,225a,
225,2011,,225b,
240,2008,2008,XX,
244,2001,2001,XX,
244,2010,,244b,
244,,2009,244a,
246,2011,,246b,
246,,2010,246a,
260,2009,2009,XX,
264,2010,2010,XX,
266,,,XX,
280,,,XX,
287,2011,2011,XX,
