SP;nom_sc;nom_fr;ID_TAXON;;
ABEABE;Abeillia abeillei;Colibri d'Abeillé;10479;;
ABRALB;Abroscopus albogularis;Pouillot à gorge blanche;16378;;
ABRSCH;Abroscopus schisticeps;Pouillot à face noire;16379;;
ABRSUP;Abroscopus superciliaris;Pouillot à sourcils blancs;16380;;
ABUABU;Aburria aburri;Pénélope aburri;7803;;
ACABAI;Acanthidops bairdii;Bec-en-cheville gris;18427;;
ACACHL;Acanthisitta chloris;Xénique grimpeur;11660;;
ACACHR;Acanthiza chrysorrhoa;Acanthize à croupion jaune;13526;;
ACAEWI;Acanthiza ewingii;Acanthize de Tasmanie;13522;;
ACAINO;Acanthiza inornata;Acanthize sobre;13524;;
ACAIRE;Acanthiza iredalei;Acanthize d'Iredale;13525;;
ACAKAT;Acanthiza katherina;Acanthize des montagnes;13519;;
ACALIN;Acanthiza lineata;Acanthize ridé;13529;;
ACAMAG;Acanthornis magnus;Séricorne de Tasmanie;13506;;
ACAMUR;Acanthiza murina;Acanthize de Nouvelle-Guinée;13518;;
ACANAN;Acanthiza nana;Acanthize nain;13528;;
ACAPUS;Acanthiza pusilla;Acanthize mignon;13520;;
ACAREG;Acanthiza reguloides;Acanthize à croupion beige;13523;;
ACAROB;Acanthiza robustirostris;Acanthize ardoisé;13530;;
ACARUF;Acanthagenys rufogularis;Méliphage à bavette;13447;;
ACASUP;Acanthorhynchus superciliosus;Méliphage festonné;13437;;
ACATEN;Acanthorhynchus tenuirostris;Méliphage à bec grêle;13436;;
ACAURO;Acanthiza uropygialis;Acanthize à croupion roux;13527;;
ACCALB;Accipiter albogularis;Autour pie;7484;;
ACCBAD;Accipiter badius;Épervier shikra;7475;;
ACCBIC;Accipiter bicolor;Épervier bicolore;7513;;
ACCBRA;Accipiter brachyurus;Épervier de Nouvelle-Bretagne;7501;;
ACCBRE;Accipiter brevipes;Épervier à pieds courts;7477;;
ACCBUT;Accipiter butleri;Épervier des Nicobar;7476;;
ACCCAS;Accipiter castanilius;Autour à flancs roux;7474;;
ACCCHI;Accipiter chionogaster;Épervier à poitrine blanche;7508;;
ACCCIR;Accipiter cirrocephalus;Épervier à collier roux;7500;;
ACCCOL;Accipiter collaris;Épervier à collier interrompu;7493;;
ACCCOO;Accipiter cooperii;Épervier de Cooper;7511;;
ACCCUS;Accipiter melanoleucus;Autour noir;7514;;
ACCFAS;Accipiter fasciatus;Autour australien;7482;;
ACCFASVIG;Accipiter fasciatus vigilax;Emouchet gris;18898;;
ACCFASVIG;Accipiter fasciatus vigilax;Autour australien;18898;;
ACCFRA;Accipiter francesii;Épervier de Frances;7479;;
ACCGEN;Accipiter gentilis;Autour des palombes;7516;;
ACCGRI;Accipiter griseiceps;Autour des Célèbes;7471;;
ACCGUL;Accipiter gularis;Épervier du Japon;7496;;
ACCGUN;Accipiter gundlachi;Épervier de Cuba;7512;;
ACCHAP;Accipiter haplochrous;Autour à ventre blanc;7485;;
ACCIEN;Accipiter erythrauchen;Épervier à gorge grise;7499;;
ACCIMI;Accipiter imitator;Autour imitateur;7489;;
ACCIUS;Accipiter erythronemius;Épervier à cuisses rousses;7510;;
ACCLUS;Accipiter poliocephalus;Autour à tête grise;7490;;
ACCLUT;Accipiter luteoschistaceus;Autour bleu et gris;7488;;
ACCMAD;Accipiter madagascariensis;Épervier de Madagascar;7503;;
ACCMEY;Accipiter meyerianus;Autour de Meyer;7517;;
ACCMIN;Accipiter minullus;Épervier minule;7495;;
ACCMUS;Accipiter henicogrammus;Autour des Moluques;7487;;
ACCMYS;Accipiter melanochlamys;Autour à manteau noir;7483;;
ACCNAN;Accipiter nanus;Épervier des Célèbes;7498;;
ACCNIS;Accipiter nisus;Épervier d'Europe;7505;;
ACCNOV;Accipiter novaehollandiae;Autour blanc;7481;;
ACCOVA;Accipiter ovampensis;Épervier de l'Ovampo;7504;;
ACCPRI;Accipiter princeps;Autour de Mayr;7491;;
ACCPUS;Accipiter erythropus;Épervier de Hartlaub;7494;;
ACCRHO;Accipiter rhodogaster;Épervier à poitrine rousse;7502;;
ACCRIS;Accipiter rufiventris;Épervier menu;7506;;
ACCSOL;Accipiter soloensis;Épervier de Horsfield;7478;;
ACCSTR;Accipiter striatus;Épervier brun;7507;;
ACCSUP;Accipiter superciliosus;Épervier nain;7492;;
ACCTAC;Accipiter tachiro;Autour tachiro;7473;;
ACCTER;Accipiter poliogaster;Autour à ventre gris;7469;;
ACCTII;Accipiter henstii;Autour de Henst;7515;;
ACCTOU;Accipiter toussenelii;Autour de Toussenel;7472;;
ACCUES;Accipiter rufitorques;Autour des Fidji;7486;;
ACCVEN;Accipiter ventralis;Épervier à gorge rayée;7509;;
ACCVIR;Accipiter virgatus;Épervier besra;7497;;
ACEAST;Acestrura astreans;Colibri des Santa Marta;10815;;
ACEBER;Acestrura berlepschi;Colibri de Berlepsch;10816;;
ACEBOM;Acestrura bombus;Colibri bourdon;10813;;
ACECAS;Aceros cassidix;Calao à cimier;11125;;
ACECOM;Aceros comatus;Calao coiffé;11120;;
ACECOR;Aceros corrugatus;Calao à casque rouge;11122;;
ACEEVE;Aceros everetti;Calao de Sumba;11128;;
ACEHEL;Acestrura heliodor;Colibri héliodore;10814;;
ACELEU;Aceros leucocephalus;Calao de Vieillot;11124;;
ACEMUL;Acestrura mulsant;Colibri de Mulsant;10812;;
ACENAR;Aceros narcondami;Calao de Narcondam;11127;;
